"id","Tweet","Stance","Set","screen_name","user_id","date","POS","POSplus","textplus"
"856467254384480256","macron il va devenir président alors qu'absolument personne le connaissait y'a 6 mois et que son programme est aussi bancal que ma scolarité","AGAINST","Training","NOIZU_SAMA","178665231","2017-04-24 11:18:00","['macron\tNOM\tmacron', 'il\tPRO:PER\til', 'va\tVER:pres\taller', 'devenir\tVER:infi\tdevenir', 'président\tNOM\tprésident', 'alors\tADV\talors', ""qu'\tKON\tque"", 'absolument\tADV\tabsolument', 'personne\tADV\tpersonne', 'le\tPRO:PER\tle', 'connaissait\tVER:impf\tconnaître', ""y'a\tNOM\ty'a"", '6\tNUM\t@card@', 'mois\tNOM\tmoi|mois', 'et\tKON\tet', 'que\tKON\tque', 'son\tDET:POS\tson', 'programme\tNOM\tprogramme', 'est\tVER:pres\têtre', 'aussi\tADV\taussi', 'bancal\tADJ\tbancal', 'que\tKON\tque', 'ma\tDET:POS\tmon', 'scolarité\tNOM\tscolarité']","['macron\tNOM\tmacron', 'il\tPRO:PER\til', 'va\tVER:pres\taller', 'devenir\tVER:infi\tdevenir', 'président\tNOM\tprésident', 'alors\tADV\talors', ""qu'\tKON\tque"", 'absolument\tADV\tabsolument', 'personne\tADV\tpersonne', 'le\tPRO:PER\tle', 'connaissait\tVER:impf\tconnaître', ""y'a\tNOM\ty'a"", '6\tNUM\t@card@', 'mois\tNOM\tmoi|mois', 'et\tKON\tet', 'que\tKON\tque', 'son\tDET:POS\tson', 'programme\tNOM\tprogramme', 'est\tVER:pres\têtre', 'aussi\tADV\taussi', 'bancal\tADJ\tbancal', 'que\tKON\tque', 'ma\tDET:POS\tmon', 'scolarité\tNOM\tscolarité']","macron il va devenir président alors qu'absolument personne le connaissait y'a 6 mois et que son programme est aussi bancal que ma scolarité"
"856477160562974720","lepen/macron au second tour
la rentrée demain, 
mes devoirs pas finis 
réveil à 6 heures demain
c'est bon j'abandonne j'marrete la","NONE","Test","furax863","314644762","2017-04-24 11:57:22","['lepen\tNOM\tlepen', '/\tPUN\t/', 'macron\tNOM\tmacron', 'au\tPRP:det\tau', 'second\tNUM\tsecond', 'tour\tNOM\ttour', 'la\tDET:ART\tle', 'rentrée\tNOM\trentrée', 'demain\tADV\tdemain', ',\tPUN\t,', 'mes\tDET:POS\tmon', 'devoirs\tNOM\tdevoir', 'pas\tADV\tpas', 'finis\tADJ\tfini', 'réveil\tNOM\tréveil', 'à\tPRP\tà', '6\tNUM\t@card@', 'heures\tNOM\theure', 'demain\tADV\tdemain', ""c'\tPRO:DEM\tce"", 'est\tVER:pres\têtre', 'bon\tADV\tbon', ""j'\tPRO:PER\tje"", 'abandonne\tVER:pres\tabandonner', ""j'\tPRO:PER\tje"", 'marrete\tVER:pres\tmarrete', 'la\tPRO:PER\tla']","['lepen\tNOM\tlepen', '/\tPUN\t/', 'macron\tNOM\tmacron', 'au\tPRP:det\tau', 'second\tNUM\tsecond', 'tour\tNOM\ttour', 'la\tDET:ART\tle', 'rentrée\tNOM\trentrée', 'demain\tADV\tdemain', ',\tPUN\t,', 'mes\tDET:POS\tmon', 'devoirs\tNOM\tdevoir', 'pas\tADV\tpas', 'finis\tADJ\tfini', 'réveil\tNOM\tréveil', 'à\tPRP\tà', '6\tNUM\t@card@', 'heures\tNOM\theure', 'demain\tADV\tdemain', ""c'\tPRO:DEM\tce"", 'est\tVER:pres\têtre', 'bon\tADV\tbon', ""j'\tPRO:PER\tje"", 'abandonne\tVER:pres\tabandonner', ""j'\tPRO:PER\tje"", 'marrete\tVER:pres\tmarrete', 'la\tPRO:PER\tla']","lepen/macron au second tour
la rentrée demain, 
mes devoirs pas finis 
réveil à 6 heures demain
c'est bon j'abandonne j'marrete la"
"856477308357660672","Le Parti socialiste appelle à voter Macron pour fait barrage à Le Pen #Presidentielle2017 https://t.co/SG8Zj3lPA4 https://t.co/EJFKR2J5Ll","FAVOUR","Training","HeelLeClech","543597645","2017-04-24 11:57:57","['Le\tDET:ART\tle', 'Parti\tNOM\tparti', 'socialiste\tADJ\tsocialiste', 'appelle\tVER:pres\tappeler', 'à\tPRP\tà', 'voter\tVER:infi\tvoter', 'Macron\tNAM\tMacron', 'pour\tKON\tpour', 'fait\tVER:pres\tfaire', 'barrage\tNOM\tbarrage', 'à\tPRP\tà', 'Le\tDET:ART\tle', 'Pen\tNAM\tPen', '#Presidentielle2017\tNOM\t#Presidentielle2017', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/SG8Zj3lPA4"" />', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/EJFKR2J5Ll"" />']","['Le\tDET:ART\tle', 'Parti\tNOM\tparti', 'socialiste\tADJ\tsocialiste', 'appelle\tVER:pres\tappeler', 'à\tPRP\tà', 'voter\tVER:infi\tvoter', 'Macron\tNAM\tMacron', 'pour\tKON\tpour', 'fait\tVER:pres\tfaire', 'barrage\tNOM\tbarrage', 'à\tPRP\tà', 'Le\tDET:ART\tle', 'Pen\tNAM\tPen', '#Presidentielle2017\tNOM\t#Presidentielle2017', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/SG8Zj3lPA4"" />', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/EJFKR2J5Ll"" />']","Le Parti socialiste appelle à voter Macron pour fait barrage à Le Pen #Presidentielle2017 https://t.co/SG8Zj3lPA4 https://t.co/EJFKR2J5Ll"
"856478118931988480","#Presidentielle2017 : « #Macron a récupéré tous les tocards de la politique», l’intervention musclée de Philippe… https://t.co/ByVysUWy21","AGAINST","Training","Obsequiumamicos","4890037876","2017-04-24 12:01:10","['#Presidentielle2017\tNOM\t#Presidentielle2017', ':\tPUN\t:', '«\tPUN:cit\t«', '#Macron\tNOM\t#Macron', 'a\tVER:pres\tavoir', 'récupéré\tVER:pper\trécupérer', 'tous\tPRO:IND\ttout', 'les\tDET:ART\tle', 'tocards\tNOM\ttocard', 'de\tPRP\tde', 'la\tDET:ART\tle', 'politique\tADJ\tpolitique', '»\tPUN:cit\t»', ',\tPUN\t,', 'l’intervention\tNOM\tl’intervention', 'musclée\tVER:pper\tmuscler', 'de\tPRP\tde', 'Philippe\tNAM\tPhilippe', '...\tPUN\t...', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/ByVysUWy21"" />']","['#Presidentielle2017\tNOM\t#Presidentielle2017', ':\tPUN\t:', '«\tPUN:cit\t«', 'macron\tNOM\tmacron', 'a\tVER:pres\tavoir', 'récupéré\tVER:pper\trécupérer', 'tous\tPRO:IND\ttout', 'les\tDET:ART\tle', 'tocards\tNOM\ttocard', 'de\tPRP\tde', 'la\tDET:ART\tle', 'politique\tADJ\tpolitique', '»\tPUN:cit\t»', ',\tPUN\t,', 'l’intervention\tNOM\tl’intervention', 'musclée\tVER:pper\tmuscler', 'de\tPRP\tde', 'Philippe\tNAM\tPhilippe', '...\tPUN\t...', 'url-remplacée\tADJ\turl-remplacée', '<repurl text=""https://t.co/ByVysUWy21"" />']","#Presidentielle2017 : «  macron a récupéré tous les tocards de la politique», l’intervention musclée de Philippe… https://t.co/ByVysUWy21"
"856496320391110656","La #Rotonde #Macron... plus chère que le #Fouquets  #Sarkozy
Suffit de comparer les côtes de beuf!
Qui paie?.. Quel… https://t.co/TYDRTlBvvF","AGAINST","Training","MarieLaureDupon","119243702","2017-04-24 13:13:30","['La\tDET:ART\tle', '#Rotonde\tADJ\t#Rotonde', '#Macron\tNOM\t#Macron', '...\tPUN\t...', 'plus\tADV\tplus', 'chère\tADJ\tcher', 'que\tKON\tque', 'le\tDET:ART\tle', '#Fouquets\tNOM\t#Fouquets', '#Sarkozy\tADJ\t#Sarkozy', 'Suffit\tVER:simp\tsuffire', 'de\tPRP\tde', 'comparer\tVER:infi\tcomparer', 'les\tDET:ART\tle', 'côtes\tNOM\tcôte', 'de\tPRP\tde', 'beuf\tNOM\tbeuf', '!\tSENT\t!', 'Qui\tPRO\tqui', 'paie\tNOM\tpaie', '?\tSENT\t?', '.\tSENT\t.', '.\tSENT\t.', 'Quel\tPRO:REL\tquel', '...\tPUN\t...', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/TYDRTlBvvF"" />']","['La\tDET:ART\tle', '#Rotonde\tADJ\t#Rotonde', 'macron\tNOM\tmacron', '...\tPUN\t...', 'plus\tADV\tplus', 'chère\tADJ\tcher', 'que\tKON\tque', 'le\tDET:ART\tle', '#Fouquets\tNOM\t#Fouquets', 'sarkozy\tADJ\tsarkozy', 'Suffit\tVER:simp\tsuffire', 'de\tPRP\tde', 'comparer\tVER:infi\tcomparer', 'les\tDET:ART\tle', 'côtes\tNOM\tcôte', 'de\tPRP\tde', 'beuf\tNOM\tbeuf', '!\tSENT\t!', 'Qui\tPRO\tqui', 'paie\tNOM\tpaie', '?\tSENT\t?', '.\tSENT\t.', '.\tSENT\t.', 'Quel\tPRO:REL\tquel', '...\tPUN\t...', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/TYDRTlBvvF"" />']","La #Rotonde  macron... plus chère que le #Fouquets   sarkozy
Suffit de comparer les côtes de beuf!
Qui paie?.. Quel… https://t.co/TYDRTlBvvF"
"856501582871093249","Punaise j'ai vraiment du mal avec Macron...","AGAINST","Training","Kameyy_","2966757628","2017-04-24 13:34:25","['Punaise\tNOM\tpunaise', ""j'\tPRO:PER\tje"", 'ai\tVER:pres\tavoir', 'vraiment\tADV\tvraiment', 'du\tPRP:det\tdu', 'mal\tNOM\tmal', 'avec\tPRP\tavec', 'Macron\tNAM\tMacron', '...\tPUN\t...']","['Punaise\tNOM\tpunaise', ""j'\tPRO:PER\tje"", 'ai\tVER:pres\tavoir', 'vraiment\tADV\tvraiment', 'du\tPRP:det\tdu', 'mal\tNOM\tmal', 'avec\tPRP\tavec', 'Macron\tNAM\tMacron', '...\tPUN\t...']","Punaise j'ai vraiment du mal avec Macron..."
"856505132191711233","Emmanuel Macron a oublié qu'il y a un 2ème tour, il pense qu'il est déjà président: https://t.co/ihDvf5wn00 via @YouTube","AGAINST","Training","Endzyfr","1537092553","2017-04-24 13:48:31","['Emmanuel\tNAM\tEmmanuel', 'Macron\tNAM\tMacron', 'a\tVER:pres\tavoir', 'oublié\tVER:pper\toublier', ""qu'\tKON\tque"", 'il\tPRO:PER\til', 'y\tPRO:PER\ty', 'a\tVER:pres\tavoir', 'un\tDET:ART\tun', '2ème\tNUM\t2ème', 'tour\tNOM\ttour', ',\tPUN\t,', 'il\tPRO:PER\til', 'pense\tVER:pres\tpenser', ""qu'\tKON\tque"", 'il\tPRO:PER\til', 'est\tVER:pres\têtre', 'déjà\tADV\tdéjà', 'président\tNOM\tprésident', ':\tPUN\t:', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/ihDvf5wn00"" />', 'via\tPRP\tvia', '@\tADJ\t@', 'YouTube\tNAM\tYouTube']","['Emmanuel\tNAM\tEmmanuel', 'Macron\tNAM\tMacron', 'a\tVER:pres\tavoir', 'oublié\tVER:pper\toublier', ""qu'\tKON\tque"", 'il\tPRO:PER\til', 'y\tPRO:PER\ty', 'a\tVER:pres\tavoir', 'un\tDET:ART\tun', '2ème\tNUM\t2ème', 'tour\tNOM\ttour', ',\tPUN\t,', 'il\tPRO:PER\til', 'pense\tVER:pres\tpenser', ""qu'\tKON\tque"", 'il\tPRO:PER\til', 'est\tVER:pres\têtre', 'déjà\tADV\tdéjà', 'président\tNOM\tprésident', ':\tPUN\t:', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/ihDvf5wn00"" />', 'via\tPRP\tvia', '@\tADJ\t@', 'YouTube\tNAM\tYouTube']","Emmanuel Macron a oublié qu'il y a un 2ème tour, il pense qu'il est déjà président: https://t.co/ihDvf5wn00 via @YouTube"
"856506985176584192","Donc #MACRON prend ses conseils économiques avec Jacques ATTALI. Regardez ce que ce crétin prévoyait pour fin 2011
https://t.co/Q1UNphDG8x","AGAINST","Test","hugoengel4","2340405962","2017-04-24 13:55:53","['Donc\tADV\tdonc', '#MACRON\tNOM\t#MACRON', 'prend\tVER:pres\tprendre', 'ses\tDET:POS\tson', 'conseils\tNOM\tconseil', 'économiques\tADJ\téconomique', 'avec\tPRP\tavec', 'Jacques\tNAM\tJacques', 'ATTALI\tNAM\tATTALI', '.\tSENT\t.', 'Regardez\tVER:pres\tregarder', 'ce\tPRO:DEM\tce', 'que\tPRO:REL\tque', 'ce\tPRO:DEM\tce', 'crétin\tNOM\tcrétin', 'prévoyait\tVER:impf\tprévoir', 'pour\tPRP\tpour', 'fin\tNOM\tfin', '2011\tNUM\t@card@', 'url-remplacée\tNOM\turl-remplacée', '<repurl text=""https://t.co/Q1UNphDG8x"" />']","['Donc\tADV\tdonc', 'macron\tNOM\tmacron', 'prend\tVER:pres\tprendre', 'ses\tDET:POS\tson', 'conseils\tNOM\tconseil', 'économiques\tADJ\téconomique', 'avec\tPRP\tavec', 'Jacques\tNAM\tJacques', 'ATTALI\tNAM\tATTALI', '.\tSENT\t.', 'Regardez\tVER:pres\tregarder', 'ce\tPRO:DEM\tce', 'que\tPRO:REL\tque', 'ce\tPRO:DEM\tce', 'crétin\tNOM\tcrétin', 'prévoyait\tVER:impf\tprévoir', 'pour\tPRP\tpour', 'fin\tNOM\tfin', '2011\tNUM\t@card@', 'url-remplacée\tNOM\turl-remplacée', '<repurl text=""https://t.co/Q1UNphDG8x"" />']","Donc  macron prend ses conseils économiques avec Jacques ATTALI. Regardez ce que ce crétin prévoyait pour fin 2011
https://t.co/Q1UNphDG8x"
"856518687544807424","""@Fiorenzo_Pazzo: -Qui a voté pour Macron? Je répète: qui est un fils de pute? https://t.co/vf2oCB53rH""toi même","AGAINST","Training","Mamadou06736795","854052797150617600","2017-04-24 14:42:23","['""\tPUN:cit\t""', '@\tNOM\t@', 'Fiorenzo_Pazzo\tNAM\tFiorenzo_Pazzo', ':\tPUN\t:', '-Qui\tADJ\t-Qui', 'a\tVER:pres\tavoir', 'voté\tVER:pper\tvoter', 'pour\tPRP\tpour', 'Macron\tNAM\tMacron', '?\tSENT\t?', 'Je\tPRO:PER\tje', 'répète\tVER:pres\trépéter', ':\tPUN\t:', 'qui\tPRO:REL\tqui', 'est\tVER:pres\têtre', 'un\tDET:ART\tun', 'fils\tNOM\tfil|fils', 'de\tPRP\tde', 'pute\tNOM\tpute', '?\tSENT\t?', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/vf2oCB53rH"" />', '""\tPUN:cit\t""', 'toi\tPRO:PER\ttoi', 'même\tADV\tmême']","['""\tPUN:cit\t""', '@\tNOM\t@', 'Fiorenzo_Pazzo\tNAM\tFiorenzo_Pazzo', ':\tPUN\t:', '-Qui\tADJ\t-Qui', 'a\tVER:pres\tavoir', 'voté\tVER:pper\tvoter', 'pour\tPRP\tpour', 'Macron\tNAM\tMacron', '?\tSENT\t?', 'Je\tPRO:PER\tje', 'répète\tVER:pres\trépéter', ':\tPUN\t:', 'qui\tPRO:REL\tqui', 'est\tVER:pres\têtre', 'un\tDET:ART\tun', 'fils\tNOM\tfil|fils', 'de\tPRP\tde', 'pute\tNOM\tpute', '?\tSENT\t?', 'url-remplacée\tVER:pper\turl-remplacée', '<repurl text=""https://t.co/vf2oCB53rH"" />', '""\tPUN:cit\t""', 'toi\tPRO:PER\ttoi', 'même\tADV\tmême']","""@Fiorenzo_Pazzo: -Qui a voté pour Macron? Je répète: qui est un fils de pute? https://t.co/vf2oCB53rH""toi même"
"856522568794341376","???????? #Presidentielle2017 : Emmanuel Macron accepte de participer au débat télévisé de l'entre-deux-tours face à Marine Le Pen, prévu le 3 mai.","NONE","Training","Ecoute51","1870898880","2017-04-24 14:57:48","['?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '#Presidentielle2017\tNOM\t#Presidentielle2017', ':\tPUN\t:', 'Emmanuel\tNAM\tEmmanuel', 'Macron\tNAM\tMacron', 'accepte\tVER:pres\taccepter', 'de\tPRP\tde', 'participer\tVER:infi\tparticiper', 'au\tPRP:det\tau', 'débat\tNOM\tdébat', 'télévisé\tVER:pper\ttéléviser', 'de\tPRP\tde', ""l'\tDET:ART\tle"", 'entre-deux-tours\tNOM\tentre-deux-tours', 'face\tNOM\tface', 'à\tPRP\tà', 'Marine\tNAM\tMarine', 'Le\tDET:ART\tle', 'Pen\tNAM\tPen', ',\tPUN\t,', 'prévu\tVER:pper\tprévoir', 'le\tDET:ART\tle', '3\tNUM\t@card@', 'mai\tNOM\tmai', '.\tSENT\t.']","['?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '?\tSENT\t?', '#Presidentielle2017\tNOM\t#Presidentielle2017', ':\tPUN\t:', 'Emmanuel\tNAM\tEmmanuel', 'Macron\tNAM\tMacron', 'accepte\tVER:pres\taccepter', 'de\tPRP\tde', 'participer\tVER:infi\tparticiper', 'au\tPRP:det\tau', 'débat\tNOM\tdébat', 'télévisé\tVER:pper\ttéléviser', 'de\tPRP\tde', ""l'\tDET:ART\tle"", 'entre-deux-tours\tNOM\tentre-deux-tours', 'face\tNOM\tface', 'à\tPRP\tà', 'Marine\tNAM\tMarine', 'Le\tDET:ART\tle', 'Pen\tNAM\tPen', ',\tPUN\t,', 'prévu\tVER:pper\tprévoir', 'le\tDET:ART\tle', '3\tNUM\t@card@', 'mai\tNOM\tmai', '.\tSENT\t.']","???????? #Presidentielle2017 : Emmanuel Macron accepte de participer au débat télévisé de l'entre-deux-tours face à Marine Le Pen, prévu le 3 mai."
