"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","stance","date","id","screen_name","text","user_id"
"1258000467","false","finalized","3","5/30/2017 11:33:05","agaist
agaist
none","2016-11-21 12:49:35","800667470038085632","thjuss","#Bottura minaccia di lasciare l'#Italia se vincesse il #NO al #referendumcostituzionale... a lui cosa cambierebbe?
https://t.co/lK8hFuqN2J","178833684"
"1258000468","false","finalized","3","5/30/2017 11:32:20","agaist
agaist
agaist","2016-11-29 14:44:46","803595561953873920","mr_ranadeus","#Gatto Mancano 5 giorni alla FINE di @matteorenzi! #Bastaunsi? #IoVotoNO #ReferendumCostituzionale #Renzi #PD… https://t.co/yZqW0sGdd3","803590719432695808"
"1258000469","false","finalized","3","5/30/2017 11:33:53","favor
favor
favor","2016-11-16 20:46:11","798975474307309569","unblogpolitico","#Bersani e compagni amano galleggiare. #bastaunSi #iovotosi #M5s #Renzi #liberiSI #referendumcostituzionale https://t.co/TAtOCmXzDH","2888908630"
"1258000471","false","finalized","3","5/30/2017 11:32:27","favor
favor
favor","2016-11-29 14:56:34","803598530468188160","pie_cataldi","Perché serve la stabilità di governo #referendumcostituzionale #iovotosi https://t.co/jGGcj2Pk4c","1066281211"
"1258000472","false","finalized","3","5/30/2017 11:32:20","agaist
none
agaist","2016-11-24 23:31:27","801916167795408896","PR4CFF","il suggerimento #IoVotoNO sparisce da Twitter.  Renzi ha cinvestito anche qui ma tanto perde lo stesso il #referendumcostituzionale!","2868103310"
"1258000473","false","finalized","3","5/30/2017 11:34:45","agaist
agaist
agaist","2016-11-24 22:20:22","801898278447095808","freschi_paola","@serracchiani @bastaunsi questo è far decidere liberamente gli #Italiani? #IoVotoNo al #ReferendumCostituzionale https://t.co/agVluJsZ6k","2914562626"
"1258000474","false","finalized","3","5/30/2017 11:32:20","favor
favor
favor","2016-11-29 09:28:30","803515969838661632","claudiamedd","Oggi con @MEB per il Sì al #referendumcostituzionale 

Ore 11 a Sassari, Camera di Commercio.
Ore 14:30 a Cagliari,… https://t.co/sm0vvGK0er","634575700"
"1258000475","false","finalized","3","5/30/2017 11:33:53","none
none
none","2016-11-29 11:41:30","803549440086855681","gbrunazzi1990","Appello di Amanda Signorelli per il #referendumcostituzionale: ""in gioco ci sono la democrazia e la nostra libertà""… https://t.co/mfAAnZx5dM","331573519"
"1258000476","false","finalized","3","5/30/2017 11:34:45","agaist
agaist
agaist","2016-11-27 20:39:26","802960038348222464","eltheus","Il Trattato di Lisbona e il COLPO DI STATO DELL'EUROPA contro la Costituzione. #IoVotoNO #referendumcostituzionale 
https://t.co/DvXtdHRDdg","583687484"
"1258000477","false","finalized","3","5/30/2017 11:32:20","agaist
agaist
agaist","2016-11-19 23:25:09","800102639279054848","italygenocide","#iovotoNO  al #referendumcostituzionale: giù le mani salla sanità lombarda!
[VIDEO] -&gt; https://t.co/kquESXMh7u https://t.co/jUrHDwjPQg","2612652422"
"1258000478","false","finalized","3","5/30/2017 11:32:27","favor
favor
favor","2016-11-26 16:06:01","802528844402003968","SteRicciardi","“Perché votare Sì” https://t.co/EKCNn0bSL5… #referendumcostituzionale #Referendum #4dicembre #bastaunsi #RiformaCostituzionale #iovotosi","1107055398"
"1258000479","false","finalized","3","5/30/2017 11:35:03","agaist
agaist
none","2016-11-29 20:44:33","803686102812934144","SimoGuerrini71","#toti cita #calamandrei a #ottoemezzo: “Siano vuoti i banchi del governo” https://t.co/8RKg94j0ec #IoVotoNO #referendumcostituzionale","780548378786615296"
"1258000480","false","finalized","3","5/30/2017 11:32:20","agaist
agaist
agaist","2016-11-27 11:54:31","802827940199362561","luca97vr","Manca solo una settimana al #referendumcostituzionale al quale TUTTI devono andare a votare #IoVotoNO @matteosalvinimi","977896784"
"1258000481","false","finalized","3","5/30/2017 11:31:06","favor
favor
favor","2016-11-24 13:38:53","801767041548120064","funkyenrico","Caso #beatricedimaio: quando si è portati alle #bassezze umane... #iovotosi #trolls #Brunetta #M5S @spinozait #referendumcostituzionale","1103389747"
"1258000482","false","finalized","3","5/30/2017 11:31:06","agaist
agaist
agaist","2016-11-25 00:00:12","801923402927841280","Samuel_Bertozzi","#referendumcostituzionale meglio affamati ma #liberi che affamati e #schiavii non sarà  #finanza a condizionarmi - #IoVotoNO #piazzapulita","292756618"
