una	2.0000	1.3846	1.0
abandonar	1.0000	2.3750	2.4
abandonat	1.1429	2.1000	3.0
abandonament	1.0000	2.0000	1.4
amainat	1.6667	1.3333	1.2
habilitats	2.5000	2.1111	2.2
capacitat	2.5714	2.5000	2.4
capaç	2.2000	1.6250	2.0
anormal	1.0000	2.0000	2.4
a bord	1.8000	1.8750	2.8
abolició	1.5000	2.1818	1.6
avortament	1.0000	2.7273	2.6
quant a	1.7143	1.3000	1.4
per sobre	2.2000	1.2500	2.4
a l'estranger	2.6000	1.7500	2.2
abrupte	1.2857	2.3000	2.4
abruptament	1.1429	2.2000	2.2
abscés	1.1250	1.5455	2.0
absència	1.5000	1.5556	2.6
absent	1.0000	1.3000	2.0
absolut	1.6667	1.4444	1.6
absolutament	1.6000	1.5000	1.8
absorbir	1.8000	1.7500	2.2
absorbit	1.4000	1.6250	2.0
absorció	1.7778	1.6667	1.6
abstracte	1.6667	1.4444	1.8
abstracció	1.4286	1.4000	1.6
absurd	1.0000	1.5000	2.2
abundància	2.6667	1.5556	3.0
abús	1.4286	2.5000	3.0
abusadors	1.2500	2.7273	2.6
abusar	1.2500	2.8182	2.6
abusiu	1.6667	2.6667	2.4
recolzar-se en	1.7143	1.4000	1.2
acadèmic	1.8000	1.5000	2.6
acadèmia	2.0000	1.6250	3.0
accelerat	2.1667	2.4444	3.0
acceleració	2.2857	2.5000	2.4
acceptar	2.4444	1.5000	1.8
acceptable	1.8889	1.5000	1.4
acceptació	2.5000	1.4286	1.6
acceptat	1.6667	1.3333	1.8
acceptar	1.5000	1.2857	2.0
accés	2.4545	1.9231	2.4
accident	1.0000	2.3750	3.0
acomodar	2.0000	1.7143	2.4
acompanyat	2.1429	2.2000	2.4
que acompanya	1.8333	2.1111	2.0
aconseguir	2.7500	2.3636	2.0
complert	2.7143	2.4000	2.0
èxits	2.6250	2.2727	2.4
acord	2.0000	1.5556	1.6
d'acord	1.6667	1.6667	1.2
d'acord amb	1.8000	1.3750	1.4
compte	1.6000	1.5000	1.8
comptabilitat	1.5000	2.0000	2.4
comptes	1.5556	1.7500	2.2
acumulat	1.8571	2.1000	2.4
acumulació	2.1429	1.6000	2.2
precisió	2.6250	2.0000	1.8
exacte	2.5714	2.1000	2.2
exactament	2.5000	1.7273	1.6
acusar	1.0000	2.2222	2.4
acusat	1.0000	1.7143	2.4
acostumat	2.1667	1.1111	1.8
as	3.0000	1.2857	2.6
aced	2.7500	2.1429	2.2
aconseguir	2.8889	2.8333	2.0
assolit	2.7143	2.8000	2.0
assoliment	2.7500	2.7143	2.2
èxits	2.5000	2.7273	2.0
aconseguir	2.8000	2.6250	1.6
adolorida	1.0000	2.3000	2.6
àcid	1.2500	2.0000	3.0
reconèixer	1.8000	1.2500	2.4
admès	2.1429	1.5000	2.2
familiaritzat	2.2000	1.5000	2.2
adquirir	2.2000	1.6250	2.8
adquirit	1.7500	1.7143	2.6
l'adquisició	2.1818	2.0714	2.0
adquisició	1.8333	1.6667	2.0
superfície en acres	1.6667	1.3333	2.2
acres	2.0000	1.5455	3.0
a través de	2.0000	1.6250	2.2
acte	1.7143	2.4000	3.0
actuat	1.4000	2.0000	2.0
actuació	1.7500	2.4545	3.0
acció	2.0000	2.8889	2.6
accions	2.3333	2.9167	2.2
actiu	2.4000	2.6250	3.0
activament	2.4286	2.4000	2.0
activista	2.2000	2.3750	2.6
activitats	2.3333	2.4167	2.6
activitat	2.6667	2.4444	2.8
actor	2.4000	2.0000	3.0
l'actor * s	2.1000	2.3077	2.0
actors	1.8333	2.3333	2.6
fets	2.1667	2.4444	2.2
actual	2.0000	1.2500	1.6
en realitat	1.6667	1.4444	1.6
agut	1.3000	1.8462	2.4
per	2.1667	1.4444	2.6
adaptació	1.5714	2.2000	2.2
adaptat	2.0000	2.0000	2.2
afegir	2.0000	1.7778	1.8
sumat	2.0000	1.6667	2.0
afegint	2.1429	1.9000	2.0
addició	1.6000	1.3750	2.4
addicional	1.8333	1.4444	1.6
podrit	1.8000	1.3750	1.2
adreça	1.8750	1.6364	2.8
dirigit	1.8750	1.6364	1.8
direccions	1.7143	1.4000	2.0
afegeix	2.2000	1.5000	2.2
adequat	2.2000	1.5000	1.6
adequadament	2.0000	1.6000	1.4
adjacent	1.7143	1.4000	2.4
contigu	1.8750	1.6364	2.2
ajustar	1.8333	1.8889	1.6
ajustat	2.2857	1.8000	2.2
ajustant	1.5000	1.7778	2.2
ajust	1.6000	2.0000	2.0
ajustos	1.6000	1.8750	2.2
administrat	1.2000	1.6250	2.0
administració	1.8889	1.8333	2.2
administratiu	1.5000	1.5556	1.6
administrador	1.2857	1.7000	2.4
admirable	2.7778	1.6667	2.8
admiració	2.5000	1.7778	1.8
admirar	1.9000	1.6000	2.8
admirada	2.7500	1.8182	2.2
admissió	2.0000	1.6364	2.0
admetre	1.6667	1.6667	2.4
acceptat	2.0000	2.0000	2.0
adolescència	1.8000	1.8750	2.8
adolescent	1.4000	2.0000	2.6
adoptar	1.8333	2.5556	2.2
adoptat	1.7143	2.5000	2.2
l'adopció	2.1111	2.7500	2.0
adopció	1.6667	2.2500	2.2
afectuós	2.7500	2.1429	1.6
adrenalina	2.3333	2.6667	2.2
anuncis	2.2500	1.1429	2.0
adult	2.4000	2.0769	2.8
adults	1.8000	1.8750	2.6
avançar	2.2500	1.7143	2.0
avançat	2.4286	1.7000	2.0
avançament	2.3333	1.7778	1.6
insinuacions	2.5000	2.1818	2.4
avantatge	2.5714	2.1000	2.2
avantatges	2.5000	2.0909	1.6
aventura	2.8333	3.0000	2.6
aventures	2.6667	2.8333	2.4
advers	1.4000	1.6250	1.2
publicitat	2.0000	2.0000	2.8
assessorament	2.5000	1.9091	2.4
assessorar	2.3333	1.5833	2.4
aconsellat	2.0000	2.1000	2.0
aconsellat	2.0000	1.6000	2.2
assessors	2.0000	1.7273	2.4
assessor	1.5714	1.7000	1.2
defensor	2.2500	2.0000	1.8
estètic	2.1667	1.3333	1.2
assumpte	1.2500	2.2857	2.4
negocis	1.1667	2.3333	2.4
afectar	1.7500	1.8571	1.6
afectat	2.0000	1.5714	1.8
afecte	2.7778	2.2500	2.0
afecta	2.0000	1.9000	1.4
afirmar	2.0000	1.8571	1.6
fixada	1.7143	1.4000	1.4
aflicció	1.4000	1.6250	1.6
permetre	2.3750	1.9091	1.8
atorgada	1.7500	1.7143	1.8
por	1.0000	2.3750	2.6
àfrica	2.1429	1.6000	3.0
africà	2.0000	1.3750	3.0
després	1.8000	1.2500	1.4
per pensar-s'ho dues vegades	1.7500	1.4286	1.4
tarda	2.4545	1.4286	2.8
tardes	2.3333	1.5556	2.8
després	2.1667	1.3333	1.4
després	1.8750	1.3636	1.4
de nou	1.8000	1.5000	1.4
contra	1.1429	1.3000	2.0
edat	1.8000	1.8750	2.0
ancià	1.5000	1.7273	2.2
agències	1.8333	1.5556	2.0
agència	1.7500	1.8182	2.2
agent	1.6000	1.2500	2.8
agents	1.4286	1.4000	2.2
segles	1.6000	1.6250	1.2
agreujar	1.1111	2.4167	2.0
agreujant	1.0000	2.2222	2.0
agressió	1.0000	2.2500	1.6
agressiu	1.2000	2.6923	2.2
espantat	1.0000	1.7778	1.2
agitat	1.3333	2.2222	2.2
fa	1.6000	1.1429	1.0
acordar	2.6667	1.8889	2.0
agradable	2.7000	2.0769	2.0
convingut	2.6667	1.7778	1.2
acord	2.5714	2.0000	2.4
acords	2.1667	1.6667	2.0
està d'acord	2.4000	1.6250	1.6
agrícola	1.8000	1.2500	1.8
agricultura	2.2857	1.3000	2.2
de	2.4000	1.5000	1.4
davant	1.5556	1.6667	1.6
ajuda	2.2000	1.6250	1.6
ajudada	2.5000	1.7273	1.8
sida	1.6250	2.0909	2.4
objectiu	2.5714	1.8000	1.8
dirigit	2.0000	1.6250	2.2
objectius	2.4000	1.8750	1.6
ain t *	1.1429	1.5000	1.0
aire	2.0000	1.4000	2.4
avió	1.8750	1.7273	2.8
avió	1.5000	1.7778	2.6
avions	1.7143	1.8000	3.0
aeroport	1.6667	1.7778	3.0
mina	1.8000	1.1250	1.0
alarma	1.0000	2.2500	2.6
alarmat	1.0000	2.3750	1.8
alarmant	1.0000	2.5833	2.0
ai	2.0000	1.2222	1.0
alcohol	1.7143	2.2000	3.0
alcohòlic	1.0000	2.1667	3.0
alerta	2.0000	2.5000	2.2
estranger	1.4286	1.8000	3.0
alienació	1.0000	1.7273	2.0
igual	2.2500	1.3636	1.4
viu	2.6667	2.5000	2.4
tots	2.0000	1.4000	1.2
presumpte	1.2000	1.1250	1.2
aliança	2.2000	1.2500	1.6
aliat	2.3333	1.4444	1.4
aliats	1.8571	1.6000	2.2
assignació	2.0000	1.4167	1.2
assignació	1.7778	1.5833	1.2
assignat	1.5000	1.1429	1.2
permetre	2.3333	1.0000	1.4
concessió	2.5000	1.2857	2.6
subsidis	2.7000	1.8462	1.8
permès	2.0000	1.3750	2.0
permetent	1.7500	1.4286	1.4
permet	2.0000	1.9000	1.6
gairebé	1.5000	1.6667	1.8
només	1.0000	1.4545	2.2
al llarg de	1.8571	1.5000	2.0
al costat de	1.8750	1.3636	2.2
en veu alta	2.0000	1.8889	1.8
ja	1.7778	1.5000	1.4
bé	2.2000	1.5000	1.6
també	1.8000	1.3750	1.2
edat	1.7500	2.0000	2.6
alterat	1.6667	2.0833	2.0
altern	1.8571	2.0000	1.8
alternativa	1.7143	1.7000	1.8
alternatives	1.8750	1.7273	1.8
altera	1.5714	1.9000	2.4
encara que	1.8750	1.6364	1.4
en conjunt	2.5000	2.1111	2.2
alumini	1.5000	1.4286	3.0
sempre	2.0000	1.3333	1.4
sóc	2.2500	1.4286	1.0
aficionat	1.0000	1.7143	2.6
sorprès	2.5556	2.4167	2.0
sorpresa	2.4286	2.3000	2.2
sorprenent	2.2500	2.0000	1.6
ambaixador	2.1429	1.9000	2.8
ambigüitat	1.4000	1.2500	1.4
ambigu	1.5000	1.6364	1.4
ambició	2.2000	2.0000	1.8
ambicions	2.8000	2.2500	1.6
ambiciós	2.1250	2.5000	1.4
a més	2.5000	2.3333	2.4
modificat	1.6667	1.5000	1.0
esmena	1.6000	1.6000	1.6
compensació	2.2500	1.6667	1.6
americà	1.5714	2.0000	3.0
amablement	2.2000	1.5000	1.2
enmig de	1.7778	2.0000	1.0
munició	1.0000	2.3333	2.6
amnèsia	1.0000	1.6250	2.4
entre	1.8333	1.6667	1.6
quantitat	1.6667	1.7778	2.8
quantitats	1.5714	2.0000	2.6
ample	2.3333	2.1111	1.8
amputat	1.0000	2.8333	3.0
divertit	3.0000	2.6250	2.6
1	1.5000	1.5000	1.0
anèmia	1.4000	2.0000	1.0
analogia	1.5714	1.5714	1.2
anàlisi	1.5000	2.3333	1.2
anàlisi	2.0000	2.0000	1.4
analític	1.4286	1.5714	1.0
analitzar	1.7143	2.4286	1.0
analitzat	1.6667	2.1667	1.0
àncora	1.7143	1.8571	3.0
ancorat	1.7273	1.5455	2.2
antic	1.7143	1.4286	2.8
i	1.6667	1.5556	1.0
i / o	1.7143	1.8571	1.0
àngel	2.8333	2.3333	3.0
àngels	2.3333	2.3333	3.0
còlera	1.0000	2.8889	2.0
enutjat	1.0000	1.8750	2.0
angle	1.7143	2.0000	2.8
angles	1.5000	1.2500	2.6
anglicà	2.1111	1.8889	1.6
anglosaxó	1.8889	1.7778	1.6
més enutjat	1.0000	2.8750	2.2
enutjat	1.0000	2.5000	2.8
angular	1.3333	1.6667	1.0
animal	2.2500	2.2500	3.0
animals	2.3750	2.5000	3.0
aniquilar	1.1111	2.4444	1.6
aniversari	3.0000	2.0000	2.4
anunciar	1.8750	2.3750	1.8
anunciat	1.8571	2.1429	2.0
anunci	2.0000	2.0000	2.0
batega	1.1667	2.8333	1.4
anual	1.6667	1.3333	1.4
anualment	1.9000	1.6000	1.2
anònim	1.5714	1.5714	1.0
un altre	1.6250	1.7500	1.0
resposta	2.0000	2.2000	1.8
contestat	2.1250	2.1250	1.8
contestador	1.5714	2.2857	1.8
respostes	1.8889	1.8889	1.8
antena	1.7778	1.8889	3.0
contra	1.0000	2.0000	1.0
antisemitisme	1.3750	2.5000	1.0
antiesclavista	1.4286	2.8333	1.6
anticipar	2.0000	2.0000	1.8
anticipat	2.1429	1.7143	1.2
anticipació	1.6250	2.2500	2.0
anticlímax	1.3000	1.8000	1.2
antic	1.9000	1.3000	3.0
ansietat	1.0000	2.8000	1.4
ansiós	1.0000	2.5000	1.8
cap	1.4000	1.4000	1.0
ningú	1.9091	1.8182	1.2
de totes maneres	1.3333	1.5000	1.0
ningú	1.4000	1.4000	1.2
qualsevol cosa	1.5714	1.8571	1.2
de totes maneres	1.5714	1.7143	1.0
de totes maneres	1.5556	1.6667	1.0
on sigui	1.7500	1.6250	1.2
a part	1.1111	2.1111	2.8
apartament	1.5714	2.1429	3.0
apartaments	1.5000	1.9000	3.0
disculpar	1.8333	2.3333	1.4
es disculpa	2.0000	2.6667	1.6
disculpa	2.0000	2.1111	1.6
aparell	1.7000	1.8000	1.6
aparent	1.7500	1.8750	1.0
aparentment	1.7500	1.8750	1.0
apel·lació	1.6667	2.3333	1.0
apel·lat	1.7500	2.2500	1.4
atractiu	2.2222	2.7778	1.6
apel·lacions	2.1429	2.1429	1.0
aparèixer	1.6000	1.8000	1.4
aparença	2.1429	2.1429	2.2
aparicions	1.6000	1.8000	2.4
aparegut	1.6000	1.6000	1.6
apareixent	2.1000	2.2000	1.4
apareix	1.8750	1.6250	1.8
apèndix	1.2000	1.4000	1.4
gana	2.0000	2.2500	2.0
aperitiu	2.3333	2.0000	2.8
aplaudiments	1.7778	2.8889	3.0
aplicable	1.5000	1.3333	1.2
sol·licitants	1.5000	2.1667	2.4
sol·licitud	1.7500	1.8750	2.0
aplicacions	1.5000	2.3333	2.0
aplicat	1.5000	1.6667	1.4
s'aplica	1.4000	1.6000	1.2
aplicar	1.8333	2.0833	1.2
l'aplicació de	1.8571	2.0000	1.2
cita	1.3333	2.0000	2.0
apreciar	2.6667	2.1111	1.6
apreciat	2.6667	1.8333	1.2
apreciació	2.8750	1.7500	1.4
aprensió	1.3333	2.1667	1.6
aprensiu	1.1111	1.7778	1.8
aprenent	1.5714	1.8571	2.2
enfocament	1.7778	2.1111	1.6
apropat	1.6667	1.8333	1.8
enfocaments	1.7778	2.0000	2.0
que s'acosta	1.6667	2.0000	2.0
apropiat	2.1000	1.7000	1.0
va consignar	1.5714	1.5714	1.0
aprovació	2.8333	2.3333	1.6
aprovar	2.9091	2.2727	2.0
aprovat	2.7143	2.1429	1.8
aprovar	2.6667	2.0000	1.8
aproximat	1.5000	1.6667	1.4
aproximadament	1.5714	1.4286	1.4
abril	2.5455	2.1818	3.0
apte	1.8571	1.7143	1.0
arbitrari	1.3333	2.2222	1.2
arc	1.5714	1.5714	2.4
arcà	1.3333	1.6667	1.0
arc	1.4000	1.2000	3.0
arqueologia	1.6667	1.8889	2.0
arquejat	1.3333	1.6667	2.8
arquitecte	1.8571	1.7143	2.6
arquitectura	1.8333	1.8333	2.4
ardent	1.6667	2.1111	1.0
són	1.6667	1.6667	1.0
àrea	1.6250	1.3750	2.0
àrees	1.5714	1.4286	2.0
aren * t	1.1667	1.3333	1.0
discutir	1.0000	3.0000	1.4
argumentat	1.0000	2.8750	1.6
argumenta	1.1111	2.8889	1.8
argumentant	1.0000	2.8571	2.0
argument	1.0000	2.6250	1.6
arguments	1.0000	2.5714	1.8
sorgir	1.8333	2.0000	1.6
sorgeix	1.8333	1.8333	2.0
derivada	2.0000	1.8333	2.0
arca	1.9091	1.4545	2.2
braç	1.7143	1.8571	3.0
armat	1.2500	1.8750	2.0
exèrcits	1.3000	2.2000	2.8
armes	1.5000	2.0000	2.6
exèrcit	1.1429	2.1429	2.6
va sorgir	2.1111	2.0000	1.4
al voltant	1.7778	2.0000	1.6
despertat	2.2500	2.7500	2.6
organitzar	1.6250	2.1250	1.4
arreglat	1.5000	1.8333	1.6
arranjament	1.6667	2.0000	2.4
arranjaments	1.7143	1.8571	2.0
disposant	1.6250	2.3750	2.0
formació	1.9000	2.1000	1.0
aturar	1.4000	2.9000	3.0
detinguts	1.0000	3.0000	2.4
arribada	1.5000	1.7500	2.4
arribar	1.6000	1.8000	2.0
arribar	2.2000	2.5000	2.2
arrogant	1.0000	2.6667	1.4
fletxa	1.3333	1.6667	3.0
art	2.3333	1.8333	2.8
artèries	1.2857	1.8571	2.2
artèria	1.7778	1.8889	1.8
article	1.8750	1.6250	2.6
articles	1.7778	1.6667	2.2
artificial	1.4286	1.5714	1.4
artilleria	1.7000	2.1000	2.2
artista	1.8333	2.5000	2.8
artístic	2.3333	2.6667	1.6
artistes	2.1250	2.6250	2.6
arts	2.7000	1.9000	2.8
com	1.5000	1.5000	1.0
ascens	1.8750	2.1250	1.2
cendra	1.4444	1.2222	2.6
avergonyit	1.0000	2.3750	1.6
asiàtic	1.8889	1.6667	2.6
a part	1.7143	1.5714	1.6
preguntar	1.6000	1.8000	1.4
demanat	1.5714	1.7143	1.4
demanant	1.4000	1.6000	1.4
demana	1.4000	1.8000	1.4
adormit	2.6000	1.5000	2.8
aspecte	1.5714	1.5714	1.2
aspectes	1.4000	1.2000	1.2
aspiracions	2.7500	2.3750	1.6
ambiciós	2.5000	2.1667	1.4
assassí	1.0000	2.7778	2.8
assalt	1.0000	2.8571	2.6
ensamblada	1.5000	1.6667	2.0
assemblees	1.7500	2.0000	1.8
muntatge	1.6667	2.0000	1.8
afirmar	1.6667	2.6667	1.2
afirmat	1.6000	2.2000	1.4
afirmatiu	1.9167	2.8333	1.4
avaluar	2.0000	2.0000	1.2
valoració	1.5000	2.1667	1.4
assessors	1.6667	2.1111	1.4
béns	1.8333	2.0000	1.6
assignar	1.8750	1.8571	1.4
assignat	1.3333	1.8333	1.4
assignació	1.2222	2.0000	2.4
assignacions	1.4286	2.0000	2.4
ajudar	2.3333	2.1111	1.6
assistència	2.0000	1.8333	1.6
