a	2.0000	1.3846	1.0
abandonar	1.0000	2.3750	2.4
abandonado	1.1429	2.1000	3.0
abandono	1.0000	2.0000	1.4
disminuido	1.6667	1.3333	1.2
habilidades	2.5000	2.1111	2.2
capacidad	2.5714	2.5000	2.4
poder	2.2000	1.6250	2.0
anormal	1.0000	2.0000	2.4
a bordo	1.8000	1.8750	2.8
abolición	1.5000	2.1818	1.6
aborto	1.0000	2.7273	2.6
acerca de	1.7143	1.3000	1.4
encima	2.2000	1.2500	2.4
en el extranjero	2.6000	1.7500	2.2
abrupto	1.2857	2.3000	2.4
abruptamente	1.1429	2.2000	2.2
absceso	1.1250	1.5455	2.0
ausencia	1.5000	1.5556	2.6
ausente	1.0000	1.3000	2.0
absoluto	1.6667	1.4444	1.6
absolutamente	1.6000	1.5000	1.8
absorber	1.8000	1.7500	2.2
absorbido	1.4000	1.6250	2.0
absorción	1.7778	1.6667	1.6
abstracto	1.6667	1.4444	1.8
abstracción	1.4286	1.4000	1.6
absurdo	1.0000	1.5000	2.2
abundancia	2.6667	1.5556	3.0
abuso	1.4286	2.5000	3.0
abusadores	1.2500	2.7273	2.6
abusando	1.2500	2.8182	2.6
abusivo	1.6667	2.6667	2.4
apoyarse en	1.7143	1.4000	1.2
académico	1.8000	1.5000	2.6
academia	2.0000	1.6250	3.0
acelerado	2.1667	2.4444	3.0
aceleración	2.2857	2.5000	2.4
aceptar	2.4444	1.5000	1.8
aceptable	1.8889	1.5000	1.4
aceptación	2.5000	1.4286	1.6
aceptado	1.6667	1.3333	1.8
aceptando	1.5000	1.2857	2.0
acceso	2.4545	1.9231	2.4
accidente	1.0000	2.3750	3.0
acomodar	2.0000	1.7143	2.4
acompañado	2.1429	2.2000	2.4
acompañamiento	1.8333	2.1111	2.0
realizar	2.7500	2.3636	2.0
consumado	2.7143	2.4000	2.0
logros	2.6250	2.2727	2.4
conformidad	2.0000	1.5556	1.6
conforme	1.6667	1.6667	1.2
en consecuencia	1.8000	1.3750	1.4
cuenta	1.6000	1.5000	1.8
contabilidad	1.5000	2.0000	2.4
cuentas	1.5556	1.7500	2.2
acumulado	1.8571	2.1000	2.4
acumulación	2.1429	1.6000	2.2
exactitud	2.6250	2.0000	1.8
preciso	2.5714	2.1000	2.2
precisamente	2.5000	1.7273	1.6
acusar	1.0000	2.2222	2.4
acusado	1.0000	1.7143	2.4
acostumbrado	2.1667	1.1111	1.8
as	3.0000	1.2857	2.6
aced	2.7500	2.1429	2.2
lograr	2.8889	2.8333	2.0
logrado	2.7143	2.8000	2.0
logro	2.7500	2.7143	2.2
logros	2.5000	2.7273	2.0
logro	2.8000	2.6250	1.6
achy	1.0000	2.3000	2.6
ácido	1.2500	2.0000	3.0
reconocer	1.8000	1.2500	2.4
admitido	2.1429	1.5000	2.2
familiarizado	2.2000	1.5000	2.2
adquirir	2.2000	1.6250	2.8
adquirido	1.7500	1.7143	2.6
adquisidor	2.1818	2.0714	2.0
adquisición	1.8333	1.6667	2.0
superficie en acres	1.6667	1.3333	2.2
